orderid,userid,bikeid,biketype,starttime,geohashed_start_loc,geohashed_end_loc,start_x,start_y,end_x,end_y
332934,995775,46191,1,2017年5月14日22时17分02秒,wx4emmc,wx4emku,39.9786,116.248,39.9731,116.253
2460104,883256,263932,2,2017年5月14日22时17分02秒,wx4ghun,wx4ghud,39.925,116.585,39.9277,116.579
3513389,797787,362450,1,2017年5月14日22时17分03秒,wx4fgfe,wx4fgfb,39.8728,116.537,39.8742,116.533
2294504,961193,248394,2,2017年5月14日22时17分13秒,wx4eq1t,wx4eq1b,39.9552,116.287,39.9566,116.28
3831770,827954,393107,1,2017年5月14日22时17分39秒,wx4dvzu,wx4dvz6,39.9017,116.274,39.8989,116.272
1679475,479957,190161,2,2017年5月14日22时17分02秒,wx49gr4,wx49gtd,39.7218,116.162,39.7135,116.173
4059594,1021011,415138,1,2017年5月14日22时17分04秒,wx4dwmh,wx4dwk9,39.8426,116.296,39.8399,116.292
4415814,959057,446137,1,2017年5月14日22时17分03秒,wx4gd3j,wx4gd2d,39.9964,116.474,39.9937,116.469
2198888,991596,239337,2,2017年5月14日22时17分05秒,wx4fy6m,wx4fy61,39.8714,116.649,39.8701,116.644
2946470,350496,308768,1,2017年5月14日22时17分04秒,wx4f5qb,wx4f7hj,39.7643,116.511,39.7932,116.507
4448427,985863,448670,1,2017年5月14日22时17分06秒,wx4g0vn,wx4g0vd,39.9305,116.409,39.9332,116.404
516524,753344,70253,1,2017年5月14日22时17分31秒,wx4fbkj,wx4fbk6,39.8811,116.386,39.8824,116.382
793003,770496,104778,1,2017年5月14日22时17分09秒,wx4ew33,wx4ew17,39.9978,116.292,39.9978,116.284
864437,421746,113635,1,2017年5月14日22时17分19秒,wx4eh4m,wx4eh36,39.9154,116.199,39.9099,116.206
1336266,858311,157547,2,2017年5月14日22时17分06秒,wx4ghc3,wx4gj0h,39.9099,116.578,39.903,116.593
2169185,148312,236483,2,2017年5月14日22时17分11秒,wx4e4w3,wx4e4tm,39.9374,116.128,39.9319,116.133
1938781,759687,214822,2,2017年5月14日22时17分09秒,wx4emmu,wx4emut,39.9786,116.253,39.9717,116.276
4424482,905458,446811,1,2017年5月14日22时17分12秒,wx4sr06,wx4spns,40.1241,116.327,40.1145,116.329
1622189,794080,184669,2,2017年5月14日22时17分10秒,wx4f18c,wx4ccxu,39.7314,116.435,39.7259,116.439
1851265,127471,206616,2,2017年5月14日22时17分11秒,wx4g648,wx4g3fj,39.9607,116.456,39.958,116.452
3801627,79067,390224,1,2017年5月14日22时17分11秒,wx4g6pu,wx4g6pr,39.9895,116.461,39.9868,116.465
4178196,1017559,425674,1,2017年5月14日22时17分10秒,wx4u02p,wx4gbr9,40.0788,116.388,40.0761,116.38
571193,750517,77458,1,2017年5月14日22时17分12秒,wx4fc2g,wx4fc26,39.8632,116.427,39.8605,116.426
572708,63774,77660,1,2017年5月14日22时17分12秒,wx4g1tr,wx4g1ws,39.9319,116.443,39.9387,116.439
3360408,1022116,347802,1,2017年5月14日22时17分10秒,wx4ex22,wx4erre,39.9923,116.335,39.9882,116.339
4995333,159807,492539,1,2017年5月14日22时17分13秒,wx4g3u8,wx4g3sv,39.9717,116.445,39.9731,116.441
3552364,35063,366216,1,2017年5月14日22时17分12秒,wx4f9nz,wx4f9nn,39.8522,116.421,39.8481,116.42
3924462,285225,402119,1,2017年5月14日22时17分14秒,wx4eyv8,wx4eytj,40.0651,116.313,40.0623,116.309
4253270,291323,433089,1,2017年5月14日22时17分13秒,wx4f8m2,wx4f8k9,39.844,116.379,39.8399,116.38
1531871,79893,176034,2,2017年5月14日22时17分13秒,wx4fd0t,wx4fd0q,39.8179,116.463,39.8165,116.464
3369739,618221,348724,1,2017年5月14日22时17分16秒,wx4dzrr,wx4dzq3,39.8989,116.345,39.8934,116.336
77686,823658,12368,1,2017年5月14日22时17分14秒,wx4er2m,wx4er2c,39.9483,116.342,39.9511,116.336
2904558,827085,304835,1,2017年5月14日22时17分13秒,wx4g6kh,wx4g6m6,39.9689,116.472,39.9758,116.469
3035733,981402,317248,1,2017年5月14日22时17分17秒,wx4ferm,wx4feq7,39.855,116.518,39.8495,116.515
3469404,189491,358174,1,2017年5月14日22时17分15秒,wx4gd1c,wx4gd40,40.0005,116.457,40.0019,116.456
3401465,948811,351681,1,2017年5月14日22时17分16秒,wx4g0r6,wx4g223,39.9429,116.382,39.9483,116.38
5078827,360032,499722,1,2017年5月14日22时17分18秒,wx4f2z2,wx4f2w7,39.811,116.401,39.8055,116.394
688938,214815,92334,1,2017年5月14日22时17分18秒,wx4f3vv,wx4f3vt,39.8028,116.452,39.8014,116.452
2379970,964766,256470,2,2017年5月14日22时17分20秒,wx4ehsx,wx4eht8,39.9277,116.224,39.9332,116.214
2521496,1051213,269585,2,2017年5月14日22时17分18秒,wx4fmhc,wx4fmhb,39.7973,116.589,39.7973,116.588
3118300,648261,324905,1,2017年5月14日22时17分25秒,wx4e5m1,wx4e5kb,39.9305,116.161,39.9291,116.159
4724567,928911,470916,1,2017年5月14日22时17分18秒,wx4fcw2,wx4fcty,39.8934,116.434,39.8907,116.442
1393819,462136,162858,2,2017年5月14日22时17分18秒,wx4fgbp,wx4fgbt,39.8591,116.542,39.8618,116.54
3370755,741828,348815,1,2017年5月14日22时17分21秒,wx4fv33,wx4fv1r,39.866,116.6,39.866,116.597
3420784,129887,353513,1,2017年5月14日22时17分21秒,wx4fkvk,wx4fkue,39.8,116.582,39.7959,116.581
1584540,1055383,181023,2,2017年5月14日22时17分22秒,wx4snub,wx4snwf,40.1049,116.313,40.1159,116.305
1927777,753891,213795,2,2017年5月14日22时17分21秒,wx4gkju,wx4gkn5,39.9786,116.549,39.9799,116.548
2039049,302724,224145,2,2017年5月14日22时17分28秒,wx4g3rd,wx4g3xk,39.9882,116.426,39.9868,116.439
3088641,481613,321948,1,2017年5月14日22时17分23秒,wx4dudw,wx4dudn,39.8728,116.222,39.8701,116.222
2678530,1003522,284243,2,2017年5月14日22时17分23秒,wx4dvc7,wx4dv8x,39.866,116.273,39.8618,116.268
731476,998408,97362,1,2017年5月14日22时17分23秒,wx4fbrx,wx4fbr6,39.9003,116.388,39.8989,116.382
1605543,699549,183031,2,2017年5月14日22时17分23秒,wx4f8u2,wx4f8t5,39.8385,116.401,39.8426,116.394
2651419,349102,281713,2,2017年5月14日22时17分23秒,wx4ezrg,wx4ezrh,40.0774,116.339,40.0733,116.34
274487,795056,38645,1,2017年5月14日22时17分25秒,wx4fhq9,wx4fhuv,39.763,116.556,39.7533,116.583
764025,852654,101207,1,2017年5月14日22时17分23秒,wx4fc0c,wx4fc02,39.8632,116.413,39.8605,116.412
1846521,823247,206185,2,2017年5月14日22时17分29秒,wx4f6t2,wx4f6s7,39.8,116.478,39.7945,116.482
3099182,54127,322980,1,2017年5月14日22时17分26秒,wx4g42n,wx4ffr9,39.903,116.475,39.9003,116.468
557014,524523,75556,1,2017年5月14日22时17分28秒,wx4ehv6,wx4ehtw,39.9319,116.228,39.9332,116.222
942198,759421,121181,2,2017年5月14日22时17分28秒,wx4f1ws,wx4f1w2,39.763,116.439,39.7616,116.434
2942553,340335,308372,1,2017年5月14日22时17分29秒,wx4e5ug,wx4e5wj,39.9291,116.185,39.936,116.177
4107882,1063395,419666,1,2017年5月14日22时17分29秒,wx4eq25,wx4enrq,39.947,116.295,39.9429,116.299
5121334,123581,504585,1,2017年5月14日22时17分30秒,wx4g3nr,wx4g3js,39.9813,116.421,39.9772,116.417
2904921,323926,304869,1,2017年5月14日22时17分30秒,wx4ej4u,wx4ehgp,39.9181,116.242,39.9195,116.235
4303163,644495,437189,1,2017年5月14日22时17分30秒,wx4g4bw,wx4ffzx,39.9058,116.497,39.9003,116.498
2820877,508194,297236,2,2017年5月14日22时17分32秒,wx4fesu,wx4fet3,39.8412,116.527,39.844,116.523
2871722,972691,301826,2,2017年5月14日22时18分01秒,wx4ew9t,wx4ewd9,39.9992,116.309,40.0047,116.303
2187719,657821,238265,2,2017年5月14日22时17分33秒,wx4g4yp,wx4g4uv,39.936,116.498,39.9291,116.496
2720541,401898,288018,2,2017年5月14日22时17分34秒,wx4fb8v,wx4fb8r,39.8632,116.397,39.8605,116.399
1631388,492110,185531,2,2017年5月14日22时17分32秒,wx4dvu1,wx4dvgf,39.8811,116.27,39.8797,116.272
3403747,969993,351889,1,2017年5月14日22时17分34秒,wx4g5hf,wx4g5hs,39.9291,116.502,39.9277,116.505
2215345,1004265,240919,2,2017年5月14日22时17分34秒,wx4g4wq,wx4g4wt,39.9374,116.486,39.9387,116.485
2271153,802425,246171,2,2017年5月14日22时17分35秒,wx4cbv2,wx4cbsy,39.7121,116.401,39.7094,116.398
1188476,901807,144028,2,2017年5月14日22时17分36秒,wx4dwwt,wx4dwy3,39.8508,116.309,39.8495,116.314
